Time,Type,Details
1785207034078,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034114,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034114,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034114,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034114,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034135,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034136,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034154,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034175,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034191,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034192,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034214,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034233,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034234,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034253,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034254,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034275,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034276,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034313,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034313,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034313,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034335,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034350,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034351,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034375,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034375,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034391,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034415,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034415,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034454,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034476,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034476,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034477,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034478,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034493,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034493,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034493,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034514,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034532,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034532,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034557,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034557,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034593,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034593,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034594,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034613,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034614,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034614,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034614,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034654,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034654,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034671,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034694,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034695,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034695,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034713,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034713,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034714,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034734,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034734,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034734,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034735,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034774,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034775,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034775,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034792,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034792,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034792,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034814,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 6.75, Z: 0.10)
1785207034814,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 83.43) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
1785207034814,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 6.75, Z: 0.10)
1785207034832,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 1.68, Y: 7.25, Z: 0.10)
1785207034854,FORCE_AT_POINT,Id=20 Force=Translation3d(X: 0.00, Y: 0.00, Z: 0.00) Point=Translation3d(X: 2.32, Y: 7.25, Z: 0.10)
